NotWavenumber,NotIntensity
6002.932793,0.114082
6002.932638,0.114254
6002.932479,0.114432
6002.932324,0.114394
6002.932166,0.114453
6002.932011,0.114896
6002.931856,0.116049
6002.931697,0.116663
6002.931542,0.118046
6002.931387,0.119134
6002.931229,0.120088
6002.931074,0.120434
6002.930915,0.120579
6002.93076,0.119923
6002.930606,0.117453
6002.930447,0.115224
6002.930292,0.113323
6002.930133,0.113793
6002.929978,0.115007
6002.929824,0.115873
6002.929665,0.116956
6002.92951,0.117678
6002.929351,0.117881
6002.929197,0.117918
6002.929042,0.117997
6002.928883,0.117627
6002.928728,0.117354
6002.928573,0.118114
6002.928415,0.119661
6002.92826,0.121862
6002.928101,0.12416
6002.927946,0.126966
6002.927791,0.128719
6002.927633,0.130259
6002.927478,0.131503
6002.927319,0.132574
6002.927164,0.133249
6002.927009,0.133484
6002.926851,0.133721
6002.926696,0.133796
6002.926537,0.134265
6002.926382,0.133612
6002.926227,0.133599
6002.926069,0.13343
6002.925914,0.133601
6002.925759,0.133619
6002.9256,0.134033
6002.925445,0.134265
6002.925287,0.13399
6002.925132,0.13409
6002.924977,0.133518
6002.924818,0.133061
6002.924663,0.132691
6002.924505,0.131984
6002.92435,0.131129
6002.924195,0.130006
6002.924036,0.128827
6002.923881,0.127756
6002.923723,0.126485
6002.923568,0.125383
6002.923413,0.124342
6002.923254,0.12353
6002.923099,0.122554
6002.922944,0.122292
6002.922786,0.121518
6002.922631,0.121077
6002.922472,0.120702
6002.922317,0.120225
6002.922162,0.120341
6002.922004,0.12067
6002.921849,0.120538
6002.92169,0.120196
6002.921535,0.11986
6002.921381,0.119425
6002.921222,0.119062
6002.921067,0.118123
6002.920908,0.117788
6002.920754,0.117395
6002.920599,0.11716
6002.92044,0.116176
6002.920285,0.115726
6002.92013,0.114928
6002.919972,0.114009
6002.919817,0.113448
6002.919658,0.112685
6002.919503,0.111945
6002.919348,0.111512
6002.91919,0.111183
6002.919035,0.110733
6002.918876,0.10998
6002.918721,0.109422
6002.918566,0.109745
6002.918408,0.109981
6002.918253,0.110762
6002.918094,0.1114
6002.917939,0.111937
6002.917784,0.112513
6002.917626,0.113091
6002.917471,0.113202
6002.917316,0.113699
6002.917157,0.113933
6002.917002,0.114182
6002.916844,0.11481
6002.916689,0.115185
6002.916534,0.115354
6002.916375,0.115336
6002.91622,0.116045
6002.916062,0.115872
6002.915907,0.116478
6002.915752,0.116247
6002.915593,0.116929
6002.915438,0.117015
6002.91528,0.117537
6002.915125,0.118141
6002.91497,0.118945
6002.914811,0.119199
6002.914656,0.119756
6002.914501,0.120208
6002.914343,0.121164
6002.914188,0.121803
6002.914029,0.122462
6002.913874,0.123498
6002.913719,0.124745
6002.913561,0.125975
6002.913406,0.126902
6002.913247,0.127495
6002.913092,0.128159
6002.912938,0.128678
6002.912779,0.129147
6002.912624,0.1299
6002.912465,0.130624
6002.912311,0.131341
6002.912156,0.131722
6002.911997,0.132245
6002.911842,0.132299
6002.911687,0.132052
6002.911529,0.132255
6002.911374,0.132087
6002.911215,0.131458
6002.91106,0.131294
6002.910905,0.131009
6002.910747,0.130635
6002.910592,0.129977
6002.910433,0.129132
6002.910278,0.128908
6002.910123,0.128866
6002.909965,0.128945
6002.90981,0.129048
6002.909651,0.12946
6002.909496,0.12992
6002.909341,0.130112
6002.909183,0.130714
6002.909028,0.131167
6002.908873,0.131264
6002.908714,0.131646
6002.908559,0.131675
6002.908401,0.131578
6002.908246,0.132072
6002.908091,0.13211
6002.907932,0.132097
6002.907777,0.131819
6002.907619,0.131759
6002.907464,0.131362
6002.907309,0.131013
6002.90715,0.130404
6002.906995,0.130268
6002.906837,0.129824
6002.906682,0.12972
6002.906527,0.129668
6002.906368,0.129385
6002.906213,0.128763
6002.906058,0.128558
6002.9059,0.128618
6002.905745,0.128449
6002.905586,0.128362
6002.905431,0.1286
6002.905276,0.128799
6002.905118,0.129519
6002.904963,0.130369
6002.904804,0.131219
6002.904649,0.131745
6002.904495,0.131972
6002.904336,0.132485
6002.904181,0.132752
6002.904022,0.132996
6002.903868,0.132987
6002.903713,0.133163
6002.903554,0.133022
6002.903399,0.132725
6002.903244,0.132049
6002.903086,0.131247
6002.902931,0.129995
6002.902772,0.128872
6002.902617,0.127794
6002.902462,0.126677
6002.902304,0.125409
6002.902149,0.123834
6002.90199,0.121942
6002.901835,0.119856
6002.90168,0.11779
6002.901522,0.115918
6002.901367,0.114699
6002.901208,0.113663
6002.901053,0.112928
6002.900898,0.112671
6002.90074,0.112247
6002.900585,0.112268
6002.90043,0.11257
6002.900271,0.113162
6002.900116,0.113632
6002.899958,0.11431
6002.899803,0.114916
6002.899648,0.115323
6002.899489,0.116172
6002.899334,0.116419
6002.899176,0.117304
6002.899021,0.117764
6002.898866,0.118292
6002.898707,0.119011
6002.898552,0.119349
6002.898394,0.119667
6002.898239,0.119732
6002.898084,0.119772
6002.897925,0.119696
6002.89777,0.119736
6002.897615,0.119666
6002.897457,0.11961
6002.897302,0.119936
