# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 13 15:40:13 2023
# COLUMN name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
name	temp
1RXS J160929.1-210524 b	1700
2M0437 b	1450
2MASS J01225093-2439505 b	1600
2MASS J12073346-3932539 b	1250
51 Eri b	700
55 Cnc b	700
55 Cnc e	1958
AF Lep b	1400
AU Mic b	593
AU Mic c	454
BD+20 594 b	546
BD+60 1417 b	1303
CD Cet b	464
CFBDSIR J145829+101343 b	370
CFHTWIR-Oph 98 b	1800
COCONUTS-2 b	434
CT Cha b	2600
CoRoT-1 b	1898
CoRoT-10 b	600
CoRoT-11 b	1657
CoRoT-12 b	1442
CoRoT-13 b	1700
CoRoT-14 b	1952
CoRoT-17 b	1626
CoRoT-18 b	1550
CoRoT-19 b	2000
CoRoT-2 b	1521
CoRoT-20 b	1024
CoRoT-22 b	885
CoRoT-23 b	1660
CoRoT-24 b	1070
CoRoT-24 c	850
CoRoT-25 b	1330
CoRoT-26 b	1600
CoRoT-27 b	1500
CoRoT-3 b	1695
CoRoT-35 b	1747
CoRoT-36 b	1567
CoRoT-4 b	1074
CoRoT-5 b	1438
CoRoT-6 b	1017
CoRoT-7 b	1756
CoRoT-8 b	870
CoRoT-9 b	420
CoRoTID 223977153 b	938
DH Tau b	2200
DMPP-1 b	877
DMPP-1 c	1239
DMPP-1 d	1632
DMPP-1 e	1314
DMPP-2 b	1000
DMPP-3 A b	854
DS Tuc A b	850
EPIC 201595106 b	1874
EPIC 205950854 c	961
EPIC 211822797 b	431
EPIC 211945201 b	817
EPIC 212297394 b	1149
EPIC 212297394 c	866
EPIC 212587672 b	756
EPIC 212587672 c	658
EPIC 212737443 b	536
EPIC 212737443 c	316
EPIC 220674823 b	2300
EPIC 220674823 c	805
EPIC 228836835 b	932
EPIC 229004835 b	804
EPIC 246851721 b	1401
EPIC 248847494 b	183
EPIC 249893012 b	1616
EPIC 249893012 c	990
EPIC 249893012 d	752
FU Tau b	2375
G 264-012 b	587
G 264-012 c	387
G 9-40 b	456
GJ 1002 b	231
GJ 1002 c	182
GJ 1132 b	529
GJ 1132 c	300
GJ 1214 b	596
GJ 1252 b	1089
GJ 143 b	422
GJ 15 A b	550
GJ 251 b	351
GJ 3021 b	350
GJ 3090 b	693
GJ 338 B b	391
GJ 3470 b	594
GJ 3473 b	773
GJ 3473 c	329
GJ 357 b	525
GJ 357 c	401
GJ 357 d	220
GJ 367 b	1745
GJ 3929 b	568
GJ 3929 c	317
GJ 393 b	485
GJ 3942 b	590
GJ 411 b	350
GJ 414 A b	309
GJ 414 A c	125
GJ 436 b	686
GJ 486 b	701
GJ 504 b	510
GJ 514 b	202
GJ 720 A b	401
GJ 740 b	829
GJ 887 b	468
GJ 887 c	352
GJ 9689 b	453
GJ 9827 b	1175
GJ 9827 c	813
GJ 9827 d	681
GPX-1 b	2300
GQ Lup b	2650
GSC 06214-00210 b	2300
GU Psc b	1050
Gaia-2 b	1213
Gl 378 b	830
Gl 686 b	379
HAT-P-1 b	1322
HAT-P-11 b	838
HAT-P-12 b	963
HAT-P-13 b	1740
HAT-P-13 c	340
HAT-P-14 b	1624
HAT-P-15 b	904
HAT-P-16 b	1626
HAT-P-17 b	792
HAT-P-18 b	852
HAT-P-19 b	1010
HAT-P-2 b	1540
HAT-P-20 b	970
HAT-P-21 b	1283
HAT-P-22 b	1463
HAT-P-23 b	1951
HAT-P-24 b	1637
HAT-P-25 b	1182
HAT-P-26 b	1001
HAT-P-27 b	1092
HAT-P-28 b	1384
HAT-P-29 b	1271
HAT-P-3 b	1189
HAT-P-30 b	1630
HAT-P-31 b	1450
HAT-P-32 b	1836
HAT-P-33 b	1782
HAT-P-34 b	1520
HAT-P-35 b	1581
HAT-P-36 b	1781
HAT-P-37 b	1271
HAT-P-38 b	1082
HAT-P-39 b	1752
HAT-P-4 b	1686
HAT-P-40 b	1770
HAT-P-41 b	1941
HAT-P-42 b	1428
HAT-P-43 b	1353
HAT-P-44 b	1108
HAT-P-45 b	1652
HAT-P-46 b	1458
HAT-P-49 b	2131
HAT-P-5 b	1539
HAT-P-50 b	1862
HAT-P-51 b	1192
HAT-P-52 b	1218
HAT-P-53 b	1778
HAT-P-54 b	818
HAT-P-55 b	1313
HAT-P-56 b	1840
HAT-P-57 b	2200
HAT-P-58 b	1622
HAT-P-59 b	1278
HAT-P-6 b	1675
HAT-P-60 b	1772
HAT-P-61 b	1505
HAT-P-62 b	1512
HAT-P-63 b	1237
HAT-P-64 b	1766
HAT-P-65 b	1930
HAT-P-66 b	1896
HAT-P-67 b	1903
HAT-P-68 b	1028
HAT-P-69 b	1930
HAT-P-7 b	2733
HAT-P-70 b	2562
HAT-P-8 b	1700
HAT-P-9 b	1540
HATS-1 b	1359
HATS-10 b	1407
HATS-11 b	1596
HATS-12 b	1446
HATS-13 b	1244
HATS-14 b	1276
HATS-15 b	1505
HATS-16 b	1592
HATS-17 b	814
HATS-18 b	2069
HATS-2 b	1577
HATS-22 b	858
HATS-23 b	1654
HATS-24 b	2166
HATS-25 b	1277
HATS-26 b	1918
HATS-27 b	1659
HATS-28 b	1253
HATS-29 b	1212
HATS-3 b	1648
HATS-30 b	1414
HATS-31 b	1823
HATS-32 b	1437
HATS-33 b	1429
HATS-34 b	1445
HATS-35 b	2037
HATS-36 b	1203
HATS-37 A b	1085
HATS-38 b	1294
HATS-39 b	1645
HATS-4 b	1315
HATS-40 b	2101
HATS-41 b	1710
HATS-42 b	1856
HATS-43 b	1003
HATS-44 b	1161
HATS-45 b	1518
HATS-46 b	1054
HATS-47 b	853
HATS-48 A b	955
HATS-49 b	835
HATS-5 b	1025
HATS-51 b	1553
HATS-52 b	1834
HATS-53 b	1312
HATS-54 b	1429
HATS-55 b	1367
HATS-56 b	1902
HATS-57 b	1413
HATS-58 A b	1721
HATS-59 b	1128
HATS-59 c	176
HATS-6 b	713
HATS-60 b	1528
HATS-61 b	1226
HATS-62 b	1237
HATS-63 b	1398
HATS-64 b	1793
HATS-65 b	1634
HATS-66 b	1998
HATS-67 b	2193
HATS-68 b	1741
HATS-69 b	1296
HATS-7 b	1084
HATS-70 b	2730
HATS-71 b	587
HATS-72 b	739
HATS-74 A b	895
HATS-75 b	772
HATS-76 b	940
HATS-77 b	828
HATS-8 b	1324
