x,y
-10.000000,1.240010
-9.989990,1.213843
-9.979980,1.323462
-9.969970,1.431327
-9.959960,1.200005
-9.949950,1.125982
-9.939940,1.336276
-9.929930,1.206989
-9.919920,1.340130
-9.909910,1.367772
-9.899900,1.198463
-9.889890,1.571985
-9.879880,1.383196
-9.869870,1.211459
-9.859860,1.258360
-9.849850,1.339067
-9.839840,1.221688
-9.829830,1.293199
-9.819820,1.289973
-9.809810,1.407537
-9.799800,1.125629
-9.789790,1.298003
-9.779780,1.174358
-9.769770,1.378088
-9.759760,1.210848
-9.749750,1.296665
-9.739740,1.385042
-9.729730,1.435188
-9.719720,1.466634
-9.709710,1.184259
-9.699700,1.210478
-9.689690,1.409061
-9.679680,1.391202
-9.669670,1.337719
-9.659660,1.499526
-9.649650,1.305018
-9.639640,1.496850
-9.629630,1.711047
-9.619620,1.354736
-9.609610,1.469860
-9.599600,1.305160
-9.589590,1.371790
-9.579580,1.358302
-9.569570,1.413205
-9.559560,1.227808
-9.549550,1.431094
-9.539540,1.302167
-9.529530,1.381821
-9.519520,1.508983
-9.509510,1.424106
-9.499499,1.451834
-9.489489,1.399348
-9.479479,1.348060
-9.469469,1.563863
-9.459459,1.535952
-9.449449,1.590866
-9.439439,1.568003
-9.429429,1.584373
-9.419419,1.512521
-9.409409,1.477839
-9.399399,1.561713
-9.389389,1.262446
-9.379379,1.620621
-9.369369,1.559493
-9.359359,1.531784
-9.349349,1.596570
-9.339339,1.548332
-9.329329,1.568571
-9.319319,1.570946
-9.309309,1.495935
-9.299299,1.437480
-9.289289,1.602231
-9.279279,1.681972
-9.269269,1.660764
-9.259259,1.705355
-9.249249,1.399740
-9.239239,1.869384
-9.229229,1.762152
-9.219219,1.756073
-9.209209,1.744514
-9.199199,1.965327
-9.189189,1.652843
-9.179179,1.912234
-9.169169,1.559732
-9.159159,1.680805
-9.149149,1.587451
-9.139139,1.752925
-9.129129,1.892366
-9.119119,1.697009
-9.109109,1.751199
-9.099099,1.634092
-9.089089,1.703706
-9.079079,1.812767
-9.069069,1.787610
-9.059059,1.878036
-9.049049,1.701334
-9.039039,1.730833
-9.029029,1.792509
-9.019019,1.719422
-9.009009,1.990889
-8.998999,1.755533
-8.988989,2.057618
-8.978979,1.972360
-8.968969,1.950586
-8.958959,2.073588
-8.948949,1.792763
-8.938939,1.776647
-8.928929,1.932886
-8.918919,1.983289
-8.908909,1.912528
-8.898899,2.050489
-8.888889,2.064996
-8.878879,2.078062
-8.868869,1.801780
-8.858859,2.073018
-8.848849,2.079067
-8.838839,1.909792
-8.828829,2.088510
-8.818819,1.853204
-8.808809,2.134442
-8.798799,2.146504
-8.788789,2.237925
-8.778779,2.026028
-8.768769,2.102108
-8.758759,2.119625
-8.748749,2.193588
-8.738739,2.129534
-8.728729,2.037686
-8.718719,2.198730
-8.708709,2.052159
-8.698699,2.139353
-8.688689,2.204860
-8.678679,2.146209
-8.668669,2.145510
-8.658659,2.406099
-8.648649,2.326324
-8.638639,2.435479
-8.628629,2.196843
-8.618619,2.235177
-8.608609,2.136584
-8.598599,2.312650
-8.588589,2.234983
-8.578579,2.401596
-8.568569,2.471495
-8.558559,2.254347
-8.548549,2.316093
-8.538539,2.246692
-8.528529,2.309868
-8.518519,2.512524
-8.508509,2.399493
-8.498498,2.450365
-8.488488,2.336411
-8.478478,2.346203
-8.468468,2.515097
-8.458458,2.509631
-8.448448,2.331382
-8.438438,2.657184
-8.428428,2.389344
-8.418418,2.601667
-8.408408,2.658498
-8.398398,2.507757
-8.388388,2.783860
-8.378378,2.652533
-8.368368,2.584979
-8.358358,2.525327
-8.348348,2.625904
-8.338338,2.723970
-8.328328,2.641345
-8.318318,2.679319
-8.308308,2.681086
-8.298298,2.626284
-8.288288,2.716316
-8.278278,2.696703
-8.268268,2.585917
-8.258258,2.621135
-8.248248,2.742778
-8.238238,2.831583
-8.228228,2.691631
-8.218218,2.601136
-8.208208,2.888158
-8.198198,2.665685
-8.188188,2.977673
-8.178178,2.825993
-8.168168,2.785154
-8.158158,2.943960
-8.148148,2.947308
-8.138138,2.959118
-8.128128,3.109083
-8.118118,3.141715
-8.108108,2.821916
-8.098098,2.886543
-8.088088,2.877713
-8.078078,3.250104
-8.068068,3.144208
-8.058058,3.158462
-8.048048,3.155583
-8.038038,3.001943
-8.028028,2.892095
-8.018018,3.254818
-8.008008,3.053574
-7.997998,3.102566
-7.987988,3.167155
-7.977978,3.251414
-7.967968,3.154378
-7.957958,3.248093
-7.947948,3.189973
-7.937938,3.413266
-7.927928,3.348515
-7.917918,3.276042
-7.907908,3.350714
-7.897898,3.266953
-7.887888,3.553442
-7.877878,3.442375
-7.867868,3.391921
-7.857858,3.661387
-7.847848,3.483862
-7.837838,3.709519
-7.827828,3.625166
-7.817818,3.642380
-7.807808,3.637208
-7.797798,3.596421
-7.787788,3.677187
-7.777778,3.748347
-7.767768,3.608552
-7.757758,3.706466
-7.747748,3.593665
-7.737738,3.690128
-7.727728,3.714764
-7.717718,3.705362
-7.707708,3.896865
-7.697698,3.804586
-7.687688,3.959670
-7.677678,3.830230
-7.667668,3.821636
-7.657658,3.743934
-7.647648,3.944481
-7.637638,4.155642
-7.627628,3.931815
-7.617618,4.057342
-7.607608,3.920315
-7.597598,4.137867
-7.587588,4.377874
-7.577578,4.154374
-7.567568,4.014813
-7.557558,4.335341
-7.547548,4.245950
-7.537538,4.268525
-7.527528,4.252391
-7.517518,4.396185
-7.507508,4.428959
-7.497497,4.488985
-7.487487,4.532659
-7.477477,4.315796
-7.467467,4.549061
-7.457457,4.557139
-7.447447,4.420188
-7.437437,4.473683
-7.427427,4.667830
-7.417417,4.460206
-7.407407,4.716039
-7.397397,4.732838
-7.387387,4.643442
-7.377377,4.856570
-7.367367,4.960892
-7.357357,4.955195
-7.347347,4.935317
-7.337337,4.929895
-7.327327,4.895179
-7.317317,5.087307
-7.307307,5.062833
-7.297297,5.045636
-7.287287,5.133388
-7.277277,5.077607
-7.267267,5.156039
-7.257257,5.205380
-7.247247,5.116855
-7.237237,5.404445
-7.227227,5.323018
-7.217217,5.479347
-7.207207,5.559233
-7.197197,5.355309
-7.187187,5.464266
-7.177177,5.764933
-7.167167,5.713882
-7.157157,5.526603
-7.147147,5.759620
-7.137137,5.664791
-7.127127,5.995895
-7.117117,5.742815
-7.107107,5.916201
-7.097097,5.985741
-7.087087,5.897447
-7.077077,6.027317
-7.067067,5.952121
-7.057057,6.044175
-7.047047,6.333907
-7.037037,6.099130
