x,y
-10.000000,0.251302
-9.979980,0.278045
-9.959960,0.363456
-9.939940,0.425346
-9.919920,0.284943
-9.899900,0.272801
-9.879880,0.234026
-9.859860,0.426680
-9.839840,0.273761
-9.819820,0.409364
-9.799800,0.483174
-9.779780,0.423816
-9.759760,0.229824
-9.739740,0.260403
-9.719720,0.612387
-9.699700,0.150574
-9.679680,0.292175
-9.659660,0.375537
-9.639640,0.421778
-9.619620,0.543276
-9.599600,0.412973
-9.579580,0.240647
-9.559560,0.254172
-9.539540,0.333579
-9.519520,0.361155
-9.499499,0.378478
-9.479479,0.470908
-9.459459,0.466033
-9.439439,0.225931
-9.419419,0.182001
-9.399399,0.568955
-9.379379,0.405194
-9.359359,0.354716
-9.339339,0.409745
-9.319319,0.473599
-9.299299,0.271768
-9.279279,0.539945
-9.259259,0.457945
-9.239239,0.346422
-9.219219,0.435701
-9.199199,0.575337
-9.179179,0.335400
-9.159159,0.289021
-9.139139,0.305143
-9.119119,0.336979
-9.099099,0.408307
-9.079079,0.325379
-9.059059,0.415356
-9.039039,0.326967
-9.019019,0.364289
-8.998999,0.393515
-8.978979,0.470672
-8.958959,0.434104
-8.938939,0.472713
-8.918919,0.421590
-8.898899,0.289500
-8.878879,0.511036
-8.858859,0.507287
-8.838839,0.483340
-8.818819,0.413207
-8.798799,0.272233
-8.778779,0.561214
-8.758759,0.448313
-8.738739,0.348080
-8.718719,0.420891
-8.698699,0.243475
-8.678679,0.620446
-8.658659,0.418399
-8.638639,0.430203
-8.618619,0.530464
-8.598599,0.391392
-8.578579,0.388286
-8.558559,0.475628
-8.538539,0.382811
-8.518519,0.443520
-8.498498,0.226501
-8.478478,0.505637
-8.458458,0.378313
-8.438438,0.461694
-8.418418,0.438307
-8.398398,0.491035
-8.378378,0.348117
-8.358358,0.588154
-8.338338,0.462560
-8.318318,0.421084
-8.298298,0.459046
-8.278278,0.457103
-8.258258,0.526731
-8.238238,0.509621
-8.218218,0.644242
-8.198198,0.353090
-8.178178,0.471882
-8.158158,0.785564
-8.138138,0.586282
-8.118118,0.432380
-8.098098,0.526890
-8.078078,0.623242
-8.058058,0.808631
-8.038038,0.538636
-8.018018,0.467398
-7.997998,0.561971
-7.977978,0.505904
-7.957958,0.502896
-7.937938,0.439955
-7.917918,0.499950
-7.897898,0.641805
-7.877878,0.517628
-7.857858,0.476830
-7.837838,0.611473
-7.817818,0.566353
-7.797798,0.510564
-7.777778,0.612508
-7.757758,0.625021
-7.737738,0.596976
-7.717718,0.517295
-7.697698,0.418187
-7.677678,0.510716
-7.657658,0.447047
-7.637638,0.762146
-7.617618,0.625972
-7.597598,0.274012
-7.577578,0.543489
-7.557558,0.546076
-7.537538,0.740845
-7.517518,0.611424
-7.497497,0.439089
-7.477477,0.471963
-7.457457,0.526532
-7.437437,0.658212
-7.417417,0.485441
-7.397397,0.396103
-7.377377,0.647049
-7.357357,0.457809
-7.337337,0.578284
-7.317317,0.664857
-7.297297,0.626453
-7.277277,0.675666
-7.257257,0.601588
-7.237237,0.720158
-7.217217,0.677146
-7.197197,0.587696
-7.177177,0.511584
-7.157157,0.656382
-7.137137,0.623953
-7.117117,0.731688
-7.097097,0.777904
-7.077077,0.609272
-7.057057,0.650241
-7.037037,0.573914
-7.017017,0.737989
-6.996997,0.895507
-6.976977,0.734861
-6.956957,0.925340
-6.936937,0.626039
-6.916917,0.650441
-6.896897,0.722849
-6.876877,0.788606
-6.856857,0.705599
-6.836837,0.826005
-6.816817,0.747530
-6.796797,0.689919
-6.776777,0.718078
-6.756757,0.676309
-6.736737,0.891151
-6.716717,0.695818
-6.696697,0.536055
-6.676677,0.777977
-6.656657,0.896850
-6.636637,0.716083
-6.616617,0.871791
-6.596597,0.844514
-6.576577,0.882142
-6.556557,0.968036
-6.536537,0.699971
-6.516517,0.930897
-6.496496,0.686071
-6.476476,0.833463
-6.456456,0.812100
-6.436436,0.781372
-6.416416,1.073874
-6.396396,0.689232
-6.376376,1.025264
-6.356356,0.853056
-6.336336,0.854222
-6.316316,0.782516
-6.296296,0.870239
-6.276276,0.639401
-6.256256,0.869015
-6.236236,0.912925
-6.216216,0.867495
-6.196196,0.847783
-6.176176,0.817948
-6.156156,1.190216
-6.136136,0.783572
-6.116116,0.939685
-6.096096,0.863121
-6.076076,0.850987
-6.056056,0.855974
-6.036036,1.077484
-6.016016,0.931603
-5.995996,0.937465
-5.975976,0.932952
-5.955956,0.948510
-5.935936,0.963542
-5.915916,0.999218
-5.895896,1.052884
-5.875876,0.837853
-5.855856,0.972353
-5.835836,0.864753
-5.815816,1.031749
-5.795796,0.993231
-5.775776,0.984096
-5.755756,1.121958
-5.735736,1.260123
-5.715716,1.083201
-5.695696,0.821022
-5.675676,1.065159
-5.655656,0.929626
-5.635636,0.885428
-5.615616,1.190264
-5.595596,1.010149
-5.575576,0.949142
-5.555556,1.103737
-5.535536,1.270102
-5.515516,1.142250
-5.495495,1.213412
-5.475475,1.175926
-5.455455,1.071229
-5.435435,1.233538
-5.415415,1.111618
-5.395395,1.124931
-5.375375,1.225507
-5.355355,1.328750
-5.335335,1.178941
-5.315315,1.190462
-5.295295,1.132111
-5.275275,1.320846
-5.255255,1.250440
-5.235235,1.203950
-5.215215,1.118844
-5.195195,1.260097
-5.175175,1.332922
-5.155155,1.258955
-5.135135,1.338939
-5.115115,1.496927
-5.095095,1.414267
-5.075075,1.358423
-5.055055,1.129853
-5.035035,1.325450
-5.015015,1.462274
-4.994995,1.467160
-4.974975,1.256770
-4.954955,1.545324
-4.934935,1.421981
-4.914915,1.420146
-4.894895,1.367532
-4.874875,1.549234
-4.854855,1.499006
-4.834835,1.516483
-4.814815,1.432382
-4.794795,1.624396
-4.774775,1.570385
-4.754755,1.635753
-4.734735,1.387710
-4.714715,1.651010
-4.694695,1.743343
-4.674675,1.505092
-4.654655,1.508644
-4.634635,1.549851
-4.614615,1.641755
-4.594595,1.611389
-4.574575,1.782768
-4.554555,1.608133
-4.534535,1.604587
-4.514515,1.627025
-4.494494,1.625639
-4.474474,1.852601
-4.454454,1.829119
-4.434434,1.654619
-4.414414,1.940597
-4.394394,1.826402
-4.374374,1.889943
-4.354354,2.047942
-4.334334,1.702589
-4.314314,1.826427
-4.294294,1.890739
-4.274274,2.057527
-4.254254,2.051502
-4.234234,2.079052
-4.214214,1.898377
-4.194194,2.138685
-4.174174,1.950386
-4.154154,2.134871
-4.134134,2.143544
-4.114114,2.111693
-4.094094,2.122858
-4.074074,2.236054
-4.054054,2.125859
-4.034034,2.224044
-4.014014,2.277716
-3.993994,2.221733
-3.973974,2.209362
-3.953954,2.163951
-3.933934,2.457868
-3.913914,2.313311
-3.893894,2.326358
-3.873874,2.555139
-3.853854,2.433759
-3.833834,2.557125
-3.813814,2.644350
-3.793794,2.427800
-3.773774,2.604065
-3.753754,2.628118
-3.733734,2.599268
-3.713714,2.682517
-3.693694,2.730340
-3.673674,2.663243
-3.653654,2.767731
-3.633634,2.712576
-3.613614,3.044790
-3.593594,2.862228
-3.573574,3.209007
-3.553554,3.089583
-3.533534,3.071068
-3.513514,2.988982
-3.493493,3.105546
-3.473473,3.168269
-3.453453,3.055603
-3.433433,3.271881
-3.413413,3.365549
-3.393393,3.334888
-3.373373,3.442496
-3.353353,3.597227
-3.333333,3.401576
-3.313313,3.341169
-3.293293,3.461281
-3.273273,3.508881
-3.253253,3.813274
-3.233233,3.738985
-3.213213,3.848170
-3.193193,3.603525
-3.173173,3.768741
-3.153153,4.086753
-3.133133,4.027065
-3.113113,4.049598
-3.093093,4.073023
-3.073073,4.000724
-3.053053,4.112182
-3.033033,4.134479
-3.013013,4.293130
-2.992993,4.284411
-2.972973,4.351484
-2.952953,4.410954
-2.932933,4.468900
-2.912913,4.529427
-2.892893,4.711773
-2.872873,4.617364
-2.852853,4.838967
-2.832833,4.896464
-2.812813,5.055459
-2.792793,4.932889
-2.772773,4.927326
-2.752753,5.131339
-2.732733,5.203116
-2.712713,5.340890
-2.692693,5.110331
-2.672673,5.491191
-2.652653,5.528337
-2.632633,5.883790
-2.612613,5.736226
-2.592593,5.803441
-2.572573,5.977680
-2.552553,5.980144
-2.532533,6.016783
-2.512513,6.404455
-2.492492,6.331418
-2.472472,6.354673
-2.452452,6.414536
-2.432432,6.779174
-2.412412,6.634429
-2.392392,6.823600
-2.372372,6.836449
-2.352352,7.078743
-2.332332,6.889761
-2.312312,7.230736
-2.292292,7.279300
-2.272272,7.494643
-2.252252,7.617055
-2.232232,7.599570
-2.212212,7.667787
-2.192192,7.855149
-2.172172,7.970717
-2.152152,8.255673
-2.132132,8.199139
-2.112112,8.266208
-2.092092,8.307808
-2.072072,8.699380
-2.052052,8.773837
-2.032032,9.037216
-2.012012,9.080408
-1.991992,9.230153
-1.971972,9.145811
-1.951952,9.405025
-1.931932,9.608468
-1.911912,9.533129
-1.891892,9.744294
-1.871872,9.820840
-1.851852,10.063770
-1.831832,10.026060
-1.811812,10.239754
-1.791792,10.497391
-1.771772,10.581150
-1.751752,10.876981
-1.731732,10.910576
-1.711712,11.057923
-1.691692,11.392856
-1.671672,11.217133
-1.651652,11.644757
-1.631632,11.685672
-1.611612,11.717142
-1.591592,11.956823
-1.571572,12.261768
-1.551552,12.096251
-1.531532,12.543107
-1.511512,12.726124
-1.491491,12.799048
-1.471471,12.659019
-1.451451,13.132582
-1.431431,13.407018
-1.411411,13.517554
-1.391391,13.678351
-1.371371,13.589325
-1.351351,13.875647
-1.331331,14.155794
-1.311311,14.122731
-1.291291,14.437921
-1.271271,14.587644
-1.251251,14.661429
-1.231231,14.700124
-1.211211,14.885310
-1.191191,15.099617
-1.171171,15.143784
-1.151151,15.492514
-1.131131,15.613452
-1.111111,15.817181
-1.091091,15.926645
-1.071071,16.027804
-1.051051,16.112594
-1.031031,16.413955
-1.011011,16.472402
-0.990991,16.540020
-0.970971,16.688265
-0.950951,16.915580
-0.930931,17.111204
-0.910911,17.337703
-0.890891,17.271444
-0.870871,17.603591
-0.850851,17.715809
-0.830831,17.825332
-0.810811,17.679056
-0.790791,17.844611
-0.770771,18.153611
-0.750751,18.216115
-0.730731,18.584470
-0.710711,18.533221
-0.690691,18.371980
-0.670671,18.753337
-0.650651,18.848986
-0.630631,19.012935
-0.610611,19.086102
-0.590591,19.157351
-0.570571,19.413400
-0.550551,19.568598
-0.530531,19.437754
-0.510511,19.634743
-0.490490,19.627820
-0.470470,19.654994
-0.450450,19.708671
-0.430430,19.764105
-0.410410,20.083951
-0.390390,20.159215
-0.370370,19.988493
-0.350350,20.149389
-0.330330,20.386526
-0.310310,20.378509
-0.290290,20.258085
-0.270270,20.481386
-0.250250,20.551125
-0.230230,20.670012
-0.210210,20.721934
-0.190190,20.667591
-0.170170,20.856439
-0.150150,20.873457
-0.130130,20.802683
-0.110110,20.809840
-0.090090,20.887149
-0.070070,20.648324
-0.050050,20.793522
-0.030030,20.906389
-0.010010,20.746440
0.010010,20.811357
0.030030,20.868793
0.050050,20.692975
